Topic,Count,Name,Representation,Representative_Docs
9,8273,9_buy_purchase_sell_sale,"['buy', 'purchase', 'sell', 'sale', 'refund', 'discount', 'cheap', 'spend', 'gamble', 'cost']","['do not buy not worth it', 'bad do not buy it', 'buy it you have money be not it']"
10,7998,10_pokemon_evolve_nintendo_arceus,"['pokemon', 'evolve', 'nintendo', 'arceus', 'zelda', 'ark', 'gun', 'gamefreak', 'creature', 'pocketpair']","['i do not need tell you what be you have see it all internet you know what you be get only i be go say be it be not pokemon gun it be more like rust pokemon it no nintendo because i mention pokemon do not mean you can sue i try it once you like survival you will like one', 'pokemon pokemon have baby ark survival plus you can your pokemon gun 10 10', 'it s pokemon not pokemon']"
11,7668,11_addiction_addict_therapy_addicted,"['addiction', 'addict', 'therapy', 'addicted', 'mental', 'mentally', 'quit', 'addicting', 'depression', 'addictive']","['i ruin my life you want keep your mental health don t buy', 'will kill your mental you have addiction rank you can not win you can not stop it will be death i', 'recommend you want stop your drug addict it s addict i forget my problem note its free you have pay your soul mental health']"
12,6609,12_skin_blizzard_cosmetic_overwatch,"['skin', 'blizzard', 'cosmetic', 'overwatch', 'spend', 'buy', 'bundle', 'season', 'legendary', 'ow2']","['we be today reaper biker skin sell once again 4th time year least you have skin feature shop 60 day ago less again anyone know why be you repeatedly sell skin reaper we be not want not say biker skin be not popular yet i do not want it perhaps it be popular it be sell they feature it many time year i doubt it now again i do thank you out america skin it be not my logging regularly i would not have see america skin because you post it one day pull it down why do you only leave it up 1 day yet i do buy it be happy i see it its my collection now yet biker skin be overdone resold too many time year like soldier 24 skin nobody be go complain you repost tomura shigaraki skin which i simply didn t have coin time it be sell i wish you guy would start allow we some our credit instead coin because we always seem end upw ith more credit than coin i mean i get lot credit i can you do not seem allow we they skin lot again would you be kind out tomura shigaraki skin i would love buy it we can move chasa skin imperial guard skin i be good streetwear skin be legendary skin i never ever see it first place i be ow1 now how be it legendary skin it be never ow1 i would love purchase chasa streetwear both legendary imperial guard which be list epic tomura shigaraki puh leaaaaaaaase which be legendary skin i be hop good perhaps end week we might see one ready buy please post they shop', 'somebody tell i be they go allow we purchase more old overwatch league skin they be sit collect dust we can t earn anything buy they obviously they must have something plan they have not remove they next why do you developer again keep skin we want buy lock away what be point skin do not improve gameplay we should not always have wait christmas halloween you think we should have skin buy it i mean why have not be explain i want spend my money what i would like buy i want its not only reaper several character have issue go i will say you have do amazing job skin again we wait wait wait wait no offense skin offering my favorite character reaper be not battle pass loot box be not do it either you promise legendary item loot box not one have produce one reaper legendary skin i simply customer be ask why be you deny money will be you you do want grow would you rather have we spend it marvel rival i want complete my skin collection stop have wait year do it could someone please consider release follow reaper skin please they loot box love onion vinegar please chasa only release once since its creation i know blackwatch reyes be see normal skin now its be lock nearly year tomura shigaraki be my fault i debate too much it miss it imperial guard again year least since its be allow be buy american skin like why create it we have never see it offer be buy be skin ever offer i can not recall i hope you do not we wait until 4th july either', 'i be try blizzard mazke skin same 6 character enough be enough i m tired sh t kiriko mercy get around 4 skin every season most character be rot corner blizz be go only skin most hero i see more venture than i do genji hot character money true character skin people would pay more money not base skin they re money everyone have be complain month have blizzard do anything no same stupid character get more skin few time other character get skin they be lackluster like megatorn ram feel lazy oh we will glue one base skin change face slightly its same base skin two minor change be not legendary skin it be rare skin yet they charge 20 sub par skin']"
13,5913,13_hacker_hack_account_login,"['hacker', 'hack', 'account', 'login', 'password', 'blizzard', 'error', 'connect', 'email', 'verification']","['i forgot i already have account playstation i my email new account it require you have phone number now i can not because new account be link my steam i can not log my old account', 'can not get title screen have jump through hoop verify account it would not let i log my original account i try create new account well need phone number why why try my phone number guess what it be my original account i go delete it my original account try log well i my phone number create account already blizzard do not like i create another account it why i go delete my old account guess what blizzard do not allow people delete account why i guess i do not get steam i will not be anything blizzard again because be frustrating experience player jump through many hoop be ridiculous', 'bad i can not reason be because blizzard will not let i same phone number different account i alt account accident seperate my main account my phone number it s because i different email sign i think be same email i my main account mean i can not access my main account which be bad i have set up my main account it will repeatedly say attach mobile phone number have already be create different overwatch account i delete phone number web account it think account same phone number i try contact blizzard they tell i get good scrub not our fault now i can not l']"
14,5679,14_russian_russians_russia_ukrainian,"['russian', 'russians', 'russia', 'ukrainian', 'polish', 'turkish', 'suka', 'turk', 'cheater', 'teammate']","['lunch search teammate russian guy toxic russian guy russian guy who speak english 16 year old russian boy retard russian teammate 10 10', 'full russian russian cheater i do not recommend', 'why i die russian teammate be russian']"
15,5585,15_arrowhead_devs_release_patch,"['arrowhead', 'devs', 'release', 'patch', 'dev', 'feedback', 'developer', 'performance', 'studio', 'fix']","['arrowhead know how good they have not single clue how maintain good each update break it more devs refuse fix untill fan review bomb out i buy it late june besides could be fix verify file after each update wasn t any terrible issue it get progressively bad time go arrowhead might improve they say they will currently i doubt will be final time it get review bomb same reason 10 24 after read update note their buff they add we would be neat they weren t buff enemy completely cancel they out balance be poor read player feedback i m hear they be unstable not more now hardware be get break don t buy its unlikely devs will fix it long they can keep release content get money warbond they don t need fix it they will not i geniunely like it be what i far most during summer issue be not new unheard', 'fantastic goty amazing studio listen their player base love community how it come together edit 303 hour i love i consider arrowhead one good developer gaming they seem be stick cycle we re back it s how they handle technical debt roll out new content manage balance fix debilitate performance issue it be clear arrowhead do listen community especially late unjust patch release 10 23 their radio silence need be replace continual update work be do background community doesn t know what arrowhead be do address problem arrowhead risk permanently lose its player base competition like warframe do have well communication model its player base kernel level anti cheat nprotect gameguard need be address many player old hardware well i have both high reasonable expectation arrowhead will continue build incredible improve their communication model fix performance issue community be deal', 'be incredible ton fun one good horde shooter arrowhead consistently prove they don t their own don t listen people do until start get ton controversy ex sony last update be see we go bug homeworld fight hivelord sound cool arrowhead seem have neglect any optimization bug fixing whatsoever fact they have only it bad lot crash freeze audio bug character bug gun bug enemy bug extraction ship bug i know they be develop old hard engine despite issue be know month they have not be touch more more premium item keep get add not only all arrowhead themselves do not high difficulty their balancing update go off number none they know what be strong weak whether its weapon enemy probably why they don t fix bug they don t see they much low difficulty their poor quality testing be great arrowhead not much since launch it s be lot step forward many many back hope they can get it together focus more playable']"
16,5086,16_shot_headshot_bullet_gun,"['shot', 'headshot', 'bullet', 'gun', 'kill', 'shoot', 'shotgun', '10', 'throw', 'bomb']","['i want shoot myself 10 10', 'gun shoot gun kill 10 out 10', 'shoot someone head 7 time they do not die 10 10 would again']"
17,4230,17_hour_minute_time_12,"['hour', 'minute', 'time', '12', 'work', 'day', 'week', 'after', 'later', '40']","['i be try hour end up 7 hour first day', '1 hour it s not well', '8 hour i have i can say 1 2 hour max i be i only spend 1 hour mission don t do it']"
18,3597,18_download_uninstall_uninstalle_update,"['download', 'uninstall', 'uninstalle', 'update', 'release', 'reinstall', 'uninstalled', 'install', 'delete', 'fix']","['it get bad every update', 'bad do not update good do not', 'do not download its bad']"
19,3180,19_ten_10_11_12,"['ten', '10', '11', '12', 'good', '100', 'wanna', 'want', 'don', 'bad']","['i m not good 10 10', 'i be good it would be 10 10 only 9 8 10 i', 'be s t 10 10']"
20,3161,20_review_revise_rating_positive,"['review', 'revise', 'rating', 'positive', 'negative', 'change', 'edit', 'see', 'suck', 'leave']","['i say my old review i would change my review devs fix they do i have', 'negative review you re not get positive review out i until be fix', 'i can leave negative review']"
21,2980,21_fun_boring_bored_life,"['fun', 'boring', 'bored', 'life', 'be', 'friend', 'become', 'say', 'suck', 'like']","['be fun until its not fun be it fun yes be fun until its not fun', 'its like wave fun not fun fun not fun fun', 'good fun friend can get boring hard']"
22,2916,22_secureboot_boot_linux_os,"['secureboot', 'boot', 'linux', 'os', 'secure', 'enable', 'kernel', 'platform', 'operating', 'ea']","['no linux support linux player be not cheater', 'you ea your secure boot', 'it s not enough ea not let you run linux their new secure boot update they don t want you dual boot it']"
23,2633,23_map_gamemode_mode_voting,"['map', 'gamemode', 'mode', 'voting', 'change', 'design', 'spawn', 'suck', 'clash', 'vote']","['i be tired map i do not want lay eye map ever again why do blizzard insist their bad map their good mode most heavily weight map you re guarantee it every time you launch i will insta leave map any chance i get i despise dog water map its terrible first point annoying turbo high ground second point only good enough point be least area get end you can leave i d rather clash 10 more time back back than paraiso once be no merit map why be it most common map', 'you should be able queue desire map mode what i want temple anubis whole year only it be my choice my time it would bring my gaming experience new level because i would enjoy what i like not what i be force i do not like it be too many annoying dislike map why can i not choose what i would love like new system map voting be flawed not serve its purpose it could be like 3 map be show vote each map be same similar system choose randomly which map be select majority want one map be one vote different map one win it be absurd i do yesterday people choose king row i pick numbani see what might happen guess what numbani be select i hate map other 9 people be furious chat gladly it be qp we leave 100 million account it should not be hard allow we select which map we like would love like warcraft tf2 you choose which map you like battleground before match voting like tf2 50 decide which map be go be next please allow we choose what we love like thank you', 'it be not map would be fun']"
24,2307,24_dive_diving_diver_together,"['dive', 'diving', 'diver', 'together', 'swim', 'we', 'our', 'dolphin', 'join', 'fight']","['we dive together not all', 'we dive together not all', 'we dive together not all go dive']"
25,1536,25_audio_sound_headphone_mute,"['audio', 'sound', 'headphone', 'mute', 'microphone', 'headset', 'noise', 'mic', 'voice', 'music']","['i like audio want share because instance what i like be it sound more organic horrible footstep sound present old audio system have headset headset which case it be bad now issue be fix i appreciate it lot one weird audio be instance i have turn up audio my pc way up wear headset i don t wear headset everything be loud which be logical realistic i don t mind honestly i like i mention organic nature audio too now because it sound well than past localization opponent could be do little bit well i think like some people have mention people above i i all player character audio sphere could be bit clear i think it s well now compare old system old system be bit louder thus bit more clear what be happen yeah again i like change term how it sound now not necessarily refer other player npc s', 'fix audio no audio be well audio', 'audio sound horrible window 11 i have back i have window 10 i come back sound sound normal he voice audio sound like it be cone it be weird buggy console version you want audio work normally do not window 11']"
26,1247,26_batman_batmobile_bat_arkham,"['batman', 'batmobile', 'bat', 'arkham', 'joker', 'gotham', 'tank', 'scarecrow', 'knight', 'combat']","['be well bad arkham series i ve never have more fun arkham i ve never have less fun arkham you ll feel like batman more than ever before you want finish you have 100 it include almost 300 riddler trophy they batmobile it first it s cool they you do stealth tank mission which suck', 'batman arkham series 4 out 4 9 5 10 didn t understand batmobile hate', 'be not no batman be batmobile arkham tank']"
27,1240,27_trash_garbage_waste_rubbish,"['trash', 'garbage', 'waste', 'rubbish', 'spend', 'heap', 'die', 'say', 'pile', 'be']","['i m trash be trash two', 'be trash edit its trash', 'i be trash be trash']"
28,1213,28_soul_soulless_sell_pray,"['soul', 'soulless', 'sell', 'pray', 'buy', 'sacrifice', 'sanity', 'steal', 'devil', 'suck']","['do not sell your soul', 'my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be my soul have be', 'i m sell my soul']"
