Topic,Count,Name,Representation,Representative_Docs
9,9233,9_buy_purchase_sale_recommend,"['buy', 'purchase', 'sale', 'recommend', 'sell', 'worth', 'price', 'discount', 'scam', 'it']","['do not buy not worth it', 'be do not buy it', 'be do not buy it']"
10,7341,10_addiction_addict_addicted_drug,"['addiction', 'addict', 'addicted', 'drug', 'heroin', 'addictive', 'addicting', 'cocaine', 'crack', 'therapy']","['you want lose your mental health recommend people who want', 'addict will ruin your life', 'will get you addicted you should not unless you want addiction']"
11,5534,11_bad_fun_be_suck,"['bad', 'fun', 'be', 'suck', 'horrible', 'do', 'terrible', 'good', 'it', 'awful']","['it be fun it be hard get good', 'bad can not fun it', 'i think i be go be bad it i be not its fun']"
12,5511,12_hour_hrs_minute_time,"['hour', 'hrs', 'minute', 'time', 'bad', 'help', 'am', 'work', 'long', 'need']","['you can t many hour', 'bad 3 9 hour my life', 'bad 4 hour my life']"
13,5012,13_russian_ukrainian_russians_russia,"['russian', 'ukrainian', 'russians', 'russia', 'english', 'duolingo', 'language', 'polish', 'turkish', 'german']","['your team you russian russian russian speak bad english russian 6 year old say cyka blyat after every sentence', '10 10 get trash talk some russian dude speak russians i do not understand russian', 'i can t all russian']"
14,4320,14_secureboot_ea_cheat_linux,"['secureboot', 'ea', 'cheat', 'linux', 'rootkit', 'os', 'pc', 'steam', 'instal', 'gameguard']","['i may not have much playtime some people i origin previously more i be think hop recently i read ea respawn accuse linux steam deck user cheating you know most not all cheat be window mind it s not possible run kernel level cheat linux all eac linux be client side user space only client side cheat work linux be super rare i find only one cheat have linux support have linux mind it s lot more hassle setup cheating linux windows be main platform why not fix problem instead block whole os nope linux user be all hacker cheat maker they i don t know much cheat general grain salt i would run windows client side cheat through wine proton seperate prefix itself it win t have access i d have prefix apex legend have cheat work properly would be easy find anti cheat i d be poof not since cheater problem apex be apparently super bad anyway i ll keep i ve be past few year be not ea slop', 'go f ea f anti cheat f secure boot', 'it s not enough ea not let you run linux their new secure boot update they don t want you dual boot it']"
15,4213,15_review_rating_negative_bad,"['review', 'rating', 'negative', 'bad', 'positive', 'why', 'report', 'tell', 'comment', 'how']","['i have join negative review', 'you know why review be negative', 'i it it bad review']"
16,3017,16_arrowhead_patch_fix_nerf,"['arrowhead', 'patch', 'fix', 'nerf', 'nerfe', 'nerfs', 'change', 'issue', 'point', 'weapon']","['arrowhead some your player can t fix it', 'malevelon creek tree speak binary edit be since before creek it be incredible run perfectly 144 fps no issue overtime performance have go straight dirt arrowhead be bad bethesda it come break new update patch claim fix 5 break 15 more process new war bond release be not go be worth it because arrowhead will nerf item either before after release they they useless 90 weapon roster stratagem roster be useless its unfortunate because lot they be cool paper horribly execute reality name call balance be because arrowhead s idea balance pve be horrible they want call realistic you can not do simple would be realistic because arrowhead think will un balance stem point arrowhead claim they do not want meta s their unfortunately exact opposite have occur they have create multiple meta s because meta s be only way its current state they be only viable option each front especially super helldive arrowhead fix please direction it be go be not fun do not work type i be massive fan first i do not want see die something have get it seem only way arrowhead listen they pretend too like last few time be people stop review bomb its current state i can not recommend i would wait least see what arrowhead s next move be next update', 'be arrowhead need fix their']"
17,2849,17_requirement_gameplay_need_leaderboard,"['requirement', 'gameplay', 'need', 'leaderboard', 'ark', 'evolve', 'beyond', 'survival', 'graphic', 'terrarium']","['graphic you forget what reality be beautiful good decent bad don t look too long it ms do gameplay good good it s gameplay mehh watch paint dry instead don t audio eargasm good good not too bad bad i m now deaf audience kid teen adult grandma pc requirement check you can run paint potato decent fast rich boi ask nasa they have spare computer size floppy disk old fashioned workable big will eat 10 your 1 tb hard drive you will want entire hard drive hold it you will need invest black hole hold all datum difficulty press w easy easy learn hard master significant brain usage difficult dark soul grind nothing grind only care leaderboard rank isn t necessary progress average grind level too much grind you ll need second life grind story no story some lore average good lovely it ll replace your life time long enough cup coffee short average long infinity beyond price it s free worth price it s sale have some spare money leave not recommend you could burn your money bug never hear minor bug can get annoying ark survival evolve itself be big terrarium bug 10 1 2 3 4 5 6 7 8 9 10', 'graphic you forget what reality be beautiful good decent bad don t look too long it ms do gameplay good good it s gameplay mehh watch paint dry instead don t audio eargasm good good not too bad bad i m now deaf audience kid teen adult grandma pc requirement check you can run paint potato decent fast rich boi ask nasa they have spare computer size floppy disk old fashioned workable big will eat 10 your 1 tb hard drive you will want entire hard drive hold it you will need invest black hole hold all datum difficulty press w easy easy learn hard master significant brain usage difficult dark soul grind nothing grind only care leaderboard rank isn t necessary progress average grind level too much grind you ll need second life grind story no story some lore average good lovely it ll replace your life time long enough cup coffee short average long infinity beyond price it s free worth price it s sale have some spare money leave not recommend you could burn your money bug never hear minor bug can get annoying ark survival evolve itself be big terrarium bug 10 1 2 3 4 5 6 7 8 9 10', 'graphic you forget what reality be beautiful good decent bad don t look too long it ms do gameplay good good it s gameplay mehh watch paint dry instead don t audio eargasm good good not too bad bad i m now deaf audience kid teen adult grandma pc requirement check you can run paint potato decent fast rich boi ask nasa they have spare computer size floppy disk old fashioned workable big will eat 10 your 1 tb hard drive you will want entire hard drive hold it you will need invest black hole hold all datum difficulty press w easy easy learn hard master significant brain usage difficult dark soul grind nothing grind only care leaderboard rank isn t necessary progress average grind level too much grind you ll need second life grind story no story some lore average good lovely it ll replace your life time long enough cup coffee short average long infinity beyond price it s free worth price it s sale have some spare money leave not recommend you could burn your money bug never hear minor bug can get annoying ark survival evolve itself be big terrarium bug 10 1 2 3 4 5 6 7 8 9 10']"
18,2805,18_slur_call_10_racist,"['slur', 'call', '10', 'racist', 'nigger', 'racial', 'get', 'yell', 'racism', 'race']","['10 10 get call slur first ever', 'not go i don t get call slur 10 10 would recommend', 'get get call racial slur 10 10']"
19,2630,19_devs_dev_developer_development,"['devs', 'dev', 'developer', 'development', 'support', 'creator', 'be', 'work', 'community', 'feedback']","['w w devs w community', 'developer have be do their good do right player other devs should note', 'devs what be you do']"
20,2578,20_ball_sack_pull_tear,"['ball', 'sack', 'pull', 'tear', 'hurt', 'want', 'rub', 'cut', 'wanna', 'like']","['i want rip off my ball i', 'i want rip my ball off', 'i want rip my ball off 10 10']"
21,2421,21_corporation_capitalism_company_corporate,"['corporation', 'capitalism', 'company', 'corporate', 'greed', 'corp', 'economy', 'profit', 'ceo', 'business']","['company do not get it', 'corporate greed will ruin everything', 'good company greedy corporate trash what s new']"
22,1947,22_audio_sound_headphone_mute,"['audio', 'sound', 'headphone', 'mute', 'microphone', 'mic', 'headset', 'issue', 'hear', 'voice']","['since ea respawn doesn t want fix it can they please high someone who can i keep get little no audio fight its 100 necessary have audio fully work no its not my headset headset setting pc driver pc setting audio setting its apex s own audio engine gibraltar could do full tap dance 2 meter behind you you win t be able hear it because be too busy not audio you can hear someone shoot 60 meter away audio estimate guessed distance far 60 meter extent teammate too far away care what sound they re i can hear their legend s call out footstep enemy full audio can pretty much be hear their footstep loud their gunfire loud their grenade loud fact someone throw down evac tower loud near 30 59 meter teammate same far distance not quite close enough care what sound they re their footstep be loud often sound like enemy player i can hear their legend s call out enemy all audio besides footstep most part once they hit around 40 meter you can hear it its sometimes hard hear legend ability close 29 meter teammate footsteps gunfire legend call out ability grenade can all be hear often override any all enemy sound they way too loudly enemy zero you re lucky hear their gunfire let alone their footstep good luck they throw grenade fuse s knuckle cluster you because you re not go hear 99 9 time', 'please fix audio issue bluetooth headphone it keep get static sound horrible audio quality', 'sound audio problem sound keep cut out other great']"
23,1836,23_map_new_spawn_want,"['map', 'new', 'spawn', 'want', 'vote', 'change', 'add', 'push', 'remove', 'gamemode']","['do overwatch need more map original map be great handful new one be good my opinion i seem dislike more new map than i like it dilute map pool you can go day week see map you like i know they win t stop they because they have map artist who wouldn t have anything do i feel like new map should be rare only inspire heavily work all new map only favor fast hero hero instant escape be i only one', 'do you have new map', 'idea seem good allow map vote you will more often map you enjoy less map you dislike you add sort roulette mechanic 9 10 people vote map s chance it land map b which player who overwhelmingly vote feel scamme out their map least 1 person get what they want be say you enjoy map most people do not you can generally wave bye bye map flip side be bad you dislike map majority player enjoy you get map disproportionally what i do not enjoy be see same map again i do not hate busan it do start get annoying it much i like circuit royale every time i see it choice i vote it time it reach majority rng step i different map anyways i have choose between map system get map randomly i would go back random map side node you want people enjoy map more add 1 map avoid slot 1 prefer map slot i would avoid suravasa prefer king row']"
24,1785,24_download_uninstalled_uninstall_uninstalle,"['download', 'uninstalled', 'uninstall', 'uninstalle', 'install', 'bad', 'reinstall', 'instal', 'recommend', 'terrible']","['bad ever do not download', 'be do not download it', 'its bad do not download it']"
25,1772,25_grind_grinding_grindy_level,"['grind', 'grinding', 'grindy', 'level', 'progress', 'need', 'pain', 'get', 'tier', 'like']","['good you have grind hour', 'yeah you know what it be point grind grind grind some more', 'you like grind be your']"
26,1760,26_vampire_goth_romance_blood,"['vampire', 'goth', 'romance', 'blood', 'seduce', '10', 'shadowheart', 'kiss', 'sex', 'hot']","['i accidentally have sex vampire 10 10 would do it again', 'come vampire stay because vampire 10 10', 'vampire suck blood romance vampire 10 10']"
27,1327,27_batman_batmobile_gotham_arkham,"['batman', 'batmobile', 'gotham', 'arkham', 'joker', 'bat', 'villain', 'riddler', 'knight', 'rocksteady']","['i up first tank battle batmobile be not batman', 'i m batman batman be i', 'batman arkham knight more like batman arkham blight suppose finale arkham series be bloated disappointing mess fail live up high standard set its predecessor let s start gameplay lack thereof sure you get dark knight once again what s point gameplay feel like chore batmobile tout major feature be more hindrance than help clunky control repetitive tank battle quickly become tedious don t get i start reliance batmobile puzzle traversal it s like developer forget batman have leg perhaps big letdown all be story after intriguing narrative previous arkham knight s plot feel like disjointed mess half bake idea predictable twist titular villain be poor imitation joker lack depth complexity he such compelling antagonist past don t get i start shoehorn side mission dlc content feel more like padding than meaningful addition experience let s not forget technical issue break bug performance problem arkham knight be riddle issue it feel like it be rush out door before it be ready prime time end batman arkham knight be disappointing conclusion arkham series fail deliver nearly every front save yourself frustration skip one altogether']"
28,1049,28_steam_steamhappy_steamthumbsdown_pc,"['steam', 'steamhappy', 'steamthumbsdown', 'pc', 'buy', 'purchase', 'download', 'sale', 'want', 'account']","['can not anymore suck steam do not get it steam', 'i buy it steam i my steam account no other', 'buy it steam i can it steam']"
