Topic,Count,Name,Representation,Representative_Docs
9,7399,9_pokemon_evolve_nintendo_arceus,"['pokemon', 'evolve', 'nintendo', 'arceus', 'ark', 'zelda', 'gun', 'creature', 'gamefreak', 'game']","['stop call it pokemon gun 1 it s ark pokemon gun', 'pokemon gun what s not like', 'they say it s pokemon gun it isn t it s ark pokemon']"
10,7377,10_play_game_lesbian_gay,"['play', 'game', 'lesbian', 'gay', 'gf', 'wife', 'sex', 'sexual', 'girlfriend', 'vampire']","['you can have sex vampire what more do you want', 'my wife leave i because game good ever happen i 10 10', 'game i beat my kid wife 10 10']"
11,7375,11_russian_russians_russia_game,"['russian', 'russians', 'russia', 'game', 'play', 'player', 'cheat', 'cs2', 'cheater', 'turkish']","['get csgo around almost never play because bad aim cs2 come out start play cs2 play random mostly russians learn russian slur pass russian test good game 10 10', 'russian chill guy russian cheater only do not play game', 'your team every random competitive game you russian guy another russian guy 6 year old kid who sleep your mother russian guy who speak english learn fluent russian be now able communicate other russians never see sunlight after instal spend almost 1k pixel 10 10 would uninstall again']"
12,6525,12_skin_cosmetic_blizzard_overwatch,"['skin', 'cosmetic', 'blizzard', 'overwatch', 'buy', 'bundle', 'money', 'because', 'why', 'season']","['be mainly question aim people who buy every new skin least multiple skin general specific character someone who only ever one skin character only buy new one i think it s well than any their previous skin why pay up more skin than you d ever be it sake collection do you genuinely rotate between every skin character have do you like look they hero gallery like i m genuinely curious', 'why can t people ever have exclusive item represent their time spend play now i didn t buy skin originally i love sombra one think blizzard do not deserve money now they be back player never get have anything exclusive because you guy need money whole cool part buy drop skin 4 year ago whenever be it doesn t come back now i know some people might call gate keeping sometimes have limit skin be nice cool pick up skin game be you play game you don t see people wear it all time because they don t bring it back it show player be long time player support collab skin first place i be original buyer it would do my head see skin back stop re release skin it cheapen skin annoy people who bother spend out first place', 'they do not want you get bad skin']"
13,5442,13_playtime_hour_play_game,"['playtime', 'hour', 'play', 'game', 'time', 'minute', 'playthrough', 'start', 'fun', 'work']","['buy game have 9 5 hour it its great game i ve spend 7 5 hour sit que only two hour game play i want do my part', 'it s one game you play 3 hour quit see it s be 9 hour', 'how i have hour game']"
14,4936,14_review_play_negative_positive,"['review', 'play', 'negative', 'positive', 'game', 'fun', 'bad', 'buy', 'see', 'know']","['buy game i can leave negative review', 'change negative review it s bad now can t play fix game', 'i play it it bad review']"
15,3970,15_shot_shoot_gun_headshot,"['shot', 'shoot', 'gun', 'headshot', 'bullet', 'shotgun', 'kill', 'game', 'play', 'enemy']","['can will get shoot map through 4 wall it some how be head shoot love hate game', 'do be they shoot i', 'game i want shoot myself 10 10']"
16,3859,16_toxic_trash_toxicity_garbage,"['toxic', 'trash', 'toxicity', 'garbage', 'game', 'play', 'waste', 'player', 'kill', 'die']","['game play be good community toxic', 'game have many toxic people its bad cs2 do not play trash', 'most toxic trash game life']"
17,3331,17_linux_os_platform_secureboot,"['linux', 'os', 'platform', 'secureboot', 'boot', 'pc', 'support', 'steam', 'system', 'ea']","['i m frustrated news apex will no long be playable linux device include steam deck message linux user should switch window be not solution no linux user will do linux be small platform be right game developer block linux it will never growth linux chance developer', 'ea you can t play linux which mean nobody steamdeck can play you need secure boot enable window play point it s hard play game you', 'remove linux support be not it']"
18,3289,18_10_11_12_game,"['10', '11', '12', 'game', 'play', 'suck', 'good', 'bad', 'again', 'end']","['i hate game i it 10 10', 'i m not good game 10 10', 'game 10 10 would play again']"
19,2974,19_arrowhead_arrow_patch_game,"['arrowhead', 'arrow', 'patch', 'game', 'unplayable', 'play', 'devs', 'performance', 'release', 'crash']","['love game please fix performance arrowhead i can not play all', 'game have have it s up down it s prove always be fun devs definitely care game it sometimes they way too long fix bug way more fun friend current state game i can no long recommend buy game performance get bad bad each every major update arrowhead continue do absolutely nothing it it s get point game barely run anymore arrowhead need focus patch fix game', 'game need performance fix arrowhead']"
20,2765,20_map_gamemode_game_play,"['map', 'gamemode', 'game', 'play', 'mode', 'boring', 'change', 'spawn', 'suck', 'clash']","['can not choose map force play random map prefer map doesn t work all i get dislike map mostly', 'why you may ask it kill vibe map you didn t realize it before well now read your realize it now every time dice add new map like redact map loading screen track will play other map soundtrack example i see flashpoint queue i get excited think i m go hear flashpoint fire loading screen ost only stupid redact play instead after they add new map it stop play other map new map will play other map cycle continue let vanilla map season map have their own music vanilla map it s four variation season map their exclusive soundtrack please dice stop do i play certain map i want know i m play map plus it seem amateur disorganized exposure strand never play other map they first release only start happen spearhead release', 'i love map game they need more map']"
21,2293,21_audio_mute_sound_noise,"['audio', 'mute', 'sound', 'noise', 'microphone', 'mic', 'voice', 'headphone', 'music', 'bug']","['suck game either f s my audio i try change it doesn t allow sound all', 'siege x update trash audio you can t hear sound queue right behind next you everything sound like it be underwater muffle be one bad improvement they could have game may not continue play until they either revert audio do something well', 'audio bug audio bug audio bug audio bug audio bug audio bug audio bug audio bug audio bug audio bug audio bug audio bug audio bug audio bug audio bug audio bug audio bug audio bug sometimes be no audio cue you get hit someone you be affect bug it apply all enemy hero hit you it apply any damage ability they they hit you you do not hear it only way know be you look your health bar dying seem reset everything back work bug can return later same match round dying help 90 time its only hit audio disappear one example soldier be shoot you right be audio indicate he be shoot you unless you look your hp bar you have no clue you re get shoot do not only apply primary fire he would helix you your face only indication you have case be small knockback another example junkerqueen she hit you her knife you get bleed effect usually you can hear bleeding happen little tssk tssk sound you be affect bug you do not hear sound all yet another example brig whiplash it usually blast your ear right loud bonk you get hit count deal damage which mean be completely silent too bug be happen you you do not hear any incoming damage regardless what ability weapon your opponent be it happen echo s sticky bomb directly your screen audio be not i have clip wreck ball mine not have audio all bug can happen play any hero can happen any enemy hero far its completely random it happen usually go away die i have multiple clip proof audio be important part game bug be hinder my experience lot past 2 year i ve try every single troubleshooting step you can think i ve replace every single piece hardware you can replace i have fresh window install i m 100 sure its bug not issue my end']"
22,2189,22_snail_snailall_snailfeed_snailprais,"['snail', 'snailall', 'snailfeed', 'snailprais', 'snailkidney', 'creature', 'bbox', 'soul', 'omnipotent', 'consume']","['snail money snail money snail money snail money snail money snail money snail money snail money snail money snail money snail money snail money snail money snail money snail money snail money snail money snail money snail money snail money snail money snail money snail money snail money snail money', 'feed snail snail life live snail hail snail', 'suck snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail snail']"
23,1867,23_battlepass_battlepasse_pass_battle,"['battlepass', 'battlepasse', 'pass', 'battle', 'revert', 'fortnite', 'spend', 'buy', 'play', 'premium']","['battle pass be next season', 'they ruin game battle pass', 'don t change battle pass all pay 40 battle pass be bullshit']"
24,1851,24_grind_gameplay_floppy_terrarium,"['grind', 'gameplay', 'floppy', 'terrarium', 'ark', 'evolve', 'computer', 'survival', 'lore', 'disk']","['graphic you forget what reality be beautiful good decent bad don t look too long it ms do gameplay good good it s gameplay mehh watch paint dry instead don t audio eargasm good good not too bad bad i m now deaf audience kid teen adult grandma pc requirement check you can run paint potato decent fast rich boi ask nasa they have spare computer game size floppy disk old fashioned workable big will eat 10 your 1 tb hard drive you will want entire hard drive hold it you will need invest black hole hold all datum difficulty press w easy easy learn hard master significant brain usage difficult dark soul grind nothing grind only care leaderboard rank isn t necessary progress average grind level too much grind you ll need second life grind story no story some lore average good lovely it ll replace your life game time long enough cup coffee short average long infinity beyond price it s free worth price it s sale have some spare money leave not recommend you could burn your money bug never hear minor bug can get annoying ark survival evolve game itself be big terrarium bug 10 1 2 3 4 5 6 7 8 9 10', 'graphic you forget what reality be beautiful good decent bad don t look too long it ms do gameplay good good it s gameplay mehh watch paint dry instead don t audio eargasm good good not too bad bad i m now deaf audience kid teen adult grandma pc requirement check you can run paint potato decent fast rich boi ask nasa they have spare computer game size floppy disk old fashioned workable big will eat 10 your 1 tb hard drive you will want entire hard drive hold it you will need invest black hole hold all datum difficulty press w easy easy learn hard master significant brain usage difficult dark soul grind nothing grind only care leaderboard rank isn t necessary progress average grind level too much grind you ll need second life grind story no story some lore average good lovely it ll replace your life game time long enough cup coffee short average long infinity beyond price it s free worth price it s sale have some spare money leave not recommend you could burn your money bug never hear minor bug can get annoying ark survival evolve game itself be big terrarium bug 10 1 2 3 4 5 6 7 8 9 10', 'graphic you forget what reality be beautiful good decent bad don t look too long it ms do gameplay good good it s gameplay mehh watch paint dry instead don t audio eargasm good good not too bad bad i m now deaf audience kid teen adult grandma pc requirement check you can run paint potato decent fast rich boi ask nasa they have spare computer game size floppy disk old fashioned workable big will eat 10 your 1 tb hard drive you will want entire hard drive hold it you will need invest black hole hold all datum difficulty press w easy easy learn hard master significant brain usage difficult dark soul grind nothing grind only care leaderboard rank isn t necessary progress average grind level too much grind you ll need second life grind story no story some lore average good lovely it ll replace your life game time long enough cup coffee short average long infinity beyond price it s free worth price it s sale have some spare money leave not recommend you could burn your money bug never hear minor bug can get annoying ark survival evolve game itself be big terrarium bug 10 1 2 3 4 5 6 7 8 9 10']"
25,1388,25_dive_diving_together_we,"['dive', 'diving', 'together', 'we', 'divert', 'our', 'fall', 'combined', 'accomplish', 'knee']","['we dive together not all', 'we dive together not all', 'we dive together not all']"
26,1370,26_butcher_slaughter_human_capture,"['butcher', 'slaughter', 'human', 'capture', '10', 'slave', 'inhumane', 'kill', 'meat', 'kidnap']","['can butcher human 10 10', 'can butcher human pal 10 10', 'i butcher human i catch 10 10']"
27,1294,27_batman_arkham_batmobile_joker,"['batman', 'arkham', 'batmobile', 'joker', 'bat', 'gotham', 'scarecrow', 'asylum', 'gameplay', 'combat']","['batman arkham series 4 out 4 9 5 10 didn t understand batmobile hate', 'bad arkham game ever they be force we batmobile lot force batman be naked it not only side quest main quest be quite repetitive some main quest be like direct side quest order extend story they keep present be already obvious create mystery be not boss fight be no boss fight last game huge arkham series origin be not popular game it least offer we boss fight it s disappointment i no i don t care how good graphic look i play game story not graphic i don t want talk logical problem story batman arkham city batman arkham origins batman arkham asylum batman arkham knight', 'be not no batman be batmobile arkham tank']"
28,1094,28_game_dogshit_play_dog,"['game', 'dogshit', 'play', 'dog', 'pet', 'ball', 'win', 'player', 'ea', 'fun']","['game be dogshit do not play it', 'dog game do not get it', 'dog game i m dog']"
