Topic,Count,Name,Representation,Representative_Docs
9,6087,9_skin_legendary_skin_mythic_skin_cosmetic,"['skin', 'legendary_skin', 'mythic_skin', 'cosmetic', 'buy', 'bundle', 'blizzard', 'sell', 'shop', 'overwatch']","['anyone_else find problematic unfair look i understand be hero be sell skin well than some other it s get ridiculous ana get skin season cassidy get skin season genji get skin season zen get skin season they be all get skin s11 again i be pretty_sure they will sneak yet_another kiriko skin too because season can_t come go kiriko get skin point illari lifeweaver venture launch little why be they be ignore much why', 'do not play game buy skin', 'current skin be be sell shop be generally overprice i think it would be lot more worth buy they allow you your weapon skin any your own character skin they could step far possibly sell weapon skin individually have already be old character skin they can sell weapon skin low cost i think it would be awesome mix match weapon skin other character skin you already own it would open door many possible customisation what be your guy thought do you think single character skin bundle price would be worth it they allow you weapon skin any other character skin']"
10,5669,10_mental_health_mental_illness_mentally_ill_your_sanity,"['mental_health', 'mental_illness', 'mentally_ill', 'your_sanity', 'health', 'mental', 'mentally', 'don_t_play', 'play', 'mental_stability']","['you value your mental_health do not play game', 'do not play you have not yet your mental_health', 'be game i do not recommend play game it will ruin your mental_health']"
11,5435,11_arrowhead_game_patch_play,"['arrowhead', 'game', 'patch', 'play', 'release', 'devs', 'crash', 'launch', 'enemy', 'dev']","['game be super fun have have lot great time play game despite how great game be can be arrowhead be decision be break game new enemy be op lack unique method deal they enforce meta way they down which ruin variability game thrive new update be sloppy have cool aspect they nail be always overshadow_by horrible performance crash issue enormous file_size every new update arrowhead have be head down path deviate_from their humble beginning last year six_month it show how game be today i want good game people glaze game say s nothing wrong any i ve mention be far more issue i haven_t mention only far hurt game arrowhead false_sense how game be do arrowhead need wake_up fix issue plague game before its too_late i want see game succeed thrive i be confident it will arrowhead start right choice', 'one step_forward two step_backwards s what play helldiver_2 have feel like near launch be dozen game break bug myriad balance issue arrowhead decide first ignore they favor add new_content problem bad only player rightfully rag escalation freedom update add big chunk content more balance issue bug do arrowhead finally understand they need fix game they undergo their 60_day endeavor fix most critical bug balance issue arrowhead deliver time i have hope developer finally understand what most player want arrowhead ruin hope their most_recent update most new_content be tie ongoing event they shove it behind battle_pass i kid you not they turn_off new_content player succeed beat world objective proceed release price set skin weapon part crossover_event s no point arrowhead any more chance now i recommend you stay_away game because arrowhead seem deadset undermine their game constant buggy break update', 'performance get bad more game break bug crash every update fix your game arrowhead']"
12,5295,12_addict_addicted_addiction_addicting,"['addict', 'addicted', 'addiction', 'addicting', 'm_addicted', 'addictive', 'gambling_addiction', 'crippling_addiction', 'gambling_simulator', 'gambling']","['it be addict do not play', 'i get addict do not play game', 'game be addict i be addicted']"
13,5034,13_learn_russian_speak_russian_russian_russian_kid,"['learn_russian', 'speak_russian', 'russian', 'russian_kid', 'real_russian_bias', 'russian_bias', 'russian_guy', 'angry_russian', 'russians', 'russians_scream']","['because russian player gaming_experience become terrible game be fun russian player completely ruin atmosphere potential be huge russian player game unbearable unfortunately toxic_behavior russian player destroy fun cs2 be great game i can_t fully enjoy it because russian player game be well deal russian player turn it nerve wracking experience someone_who play hour real i can say russian player ruin game completely game have much_potential it s waste because behavior russian player toxic player especially russians game unbearable it s hard appreciate good side cs2 because russian player ruin spirit game', 'do not play it full russian', 'i do not like all russian']"
14,4883,14_review_positive_review_negative_review_review_bomb,"['review', 'positive_review', 'negative_review', 'review_bomb', 'review_bombing', 'change', 'positive', 'will', 'read', 'say']","['you can have your good review back', 'i be not change review after', 'change bad review good review issue get fix well every day']"
15,4765,15_gun_shot_headshot_bullet,"['gun', 'shot', 'headshot', 'bullet', 'shoot', 'kill', 'shotgun', 'kill_myself', 'sniper', 'recoil']","['i pick_up gun gun go shoot shoot gun 10_10', 'i shoot head he get shoot body', 'game you can shoot someone 15 cm gun multiple time they not die they shoot you 75 mm gun kill you one shot']"
16,4301,16_controller_xbox_controller_controller_support_ps5_controller,"['controller', 'xbox_controller', 'controller_support', 'ps5_controller', 'joystick', 'gamepad', 'play', 'mouse', 'console', 'keyboard']","['controller do not work controller game', 'well play mouse not controller', 'no controller_support suck ill well review i can play controller i do not play keyboard mouse']"
17,3200,17_remove_linux_linux_support_ea_linux,"['remove_linux', 'linux_support', 'ea', 'linux', 'block_linux', 'platform', 'boot', 'os', 'battlefield', 'secure_boot']","['it s not enough ea not let you run game linux their new secure_boot update they don_t_even want you dual_boot it', 'play game linux not anymore thank ea', 'bad battlefield bad company they force secure_boot now want i delete linux you ea']"
18,2851,18_map_map_voting_map_rotation_gamemode,"['map', 'map_voting', 'map_rotation', 'gamemode', 'play', 'game', 'mode', 'clash', 'spawn', 'boring']","['they offer only same boring map set your like dislike one they only allow one ban map no difference it suck not be able play many other map they have get sit out most game not all since they only rotate 4 6 map many suck few other get boring quickly', 'base game be not bad new player experience be far great balance be issue not other game be good either complexity gameplay large_number map agent impossibility choose map casual mode accompany_by lack minimap mean you can be completely lose way too long because learn 10 map once be obviously way more difficult than map map you get destroy player know map', 'bring_back 3rd map stop play map 1 2']"
19,2456,19_audio_sound_sound_effect_headphone,"['audio', 'sound', 'sound_effect', 'headphone', 'headset', 'microphone', 'mute', 'noise', 'music', 'bluetooth_headphone']","['audio be 9 year fix it', 'fix audio no audio be well audio', 'sound audio problem sound keep cut out other great game']"
20,2411,20_halo_halo_ce_halo_infinite_halo_reach,"['halo', 'halo_ce', 'halo_infinite', 'halo_reach', 'halo_odst', '343', 'mcc', 'xbox', 'bungie', 'franchise']","['they should drop halo 6 halo 7', 'good fps franchise ever it collection equal dopamine last generation game be amazing besides 4 it s funny how 343 halo studio good game be collection old bungie game i may be young halo fan i have play i be 3 i know which halo game be good bungie good 343 bad halo_reach specifically be my_favorite because it s all around good halo game your new want see my tier list halo game it be halo_reach s all around good halo game halo 3 s it have firefight mode i would tie it reach good custom game which i love custom_games halo 3_odst good story halo 2 my second favorite multiplayer behind reach halo 1 classic not familar it other halo 4 c never have fun play campaign muiltiplyer copy call duty at_least feel like old halo s halo_infinite c well campaign multiplayer it didn_t_have same feel other halo game halo 5 f nothing good nothing not muiltplayer story be bad it i gag barely have forge', 'be like halo it be more halo']"
21,2173,21_snail_snail_feed_snail_feed_feed_snail_comingthe_snail,"['snail', 'snail_feed_snail_feed', 'feed_snail', 'comingthe_snail', 'snail_feed', 'snail_consume', 'consume_methe_snail', 'snail_hail', 'snailall_hail', 'snailprais']","['feed snail don_t_feed snail be snail hunt snail boat snail', 'snail be go get you', 'play game snail will get you']"
22,1873,22_trash_absolute_trash_garbage_waste,"['trash', 'absolute_trash', 'garbage', 'waste', 'don_t_play', 'play', 'don_t_waste', 'game', 'absolute_garbage', 'rubbish']","['be trash game do not play', 'i m trash not much trash game trash', 'game be trash do not play']"
23,1729,23_battle_pass_battlepass_battlepasse_season_pass,"['battle_pass', 'battlepass', 'battlepasse', 'season_pass', 'pass', 'play', 'game', 'change', 'new', 'reward']","['server be fix great game other than pay battle_pass have weapon you can earn battle_pass', 'not every game need battle_pass', 'your battle_pass change fix game']"
24,1573,24_spare_computer_game_spare_computer_difficulty_too_much_grind_difficult_dark_soul_grind,"['spare_computer_game', 'spare_computer_difficulty', 'too_much_grind', 'difficult_dark_soul_grind', 'grind_story', 'potato_decent_fast_rich', 'progress_average_grind_level', 'grandma_pc_requirement_check', 'grind', 'datum_difficulty']","['graphic you forget_what_reality be beautiful_good_decent bad don_t_look too long it ms_do gameplay good good it s just_gameplay_mehh watch_paint_dry_instead don_t_audio_eargasm good good not too bad bad i m_now_deaf audience_kid_teen_adult grandma_pc_requirement_check you can_run_paint potato_decent_fast_rich boi_ask_nasa_if they have spare_computer_game size_floppy_disk_old fashioned_workable_big will eat 10 your_1_tb hard_drive you will want entire_hard_drive hold it you will need invest black_hole hold all datum_difficulty press_w_easy_easy learn_hard master_significant_brain_usage difficult_dark_soul_grind nothing grind only u_care_about_leaderboard rank_isn t_necessary progress_average_grind_level too_much_grind you ll need second_life grind_story no story_some_lore average_good_lovely it ll_replace your life game time long_enough cup coffee_short_average_long infinity beyond_price it s free_worth price it s sale have_some_spare money leave not recommend you could burn your money bug_never_hear minor_bug_can get_annoying_ark survival_evolve game itself be a_big_terrarium bug 10 1 2 3 4_5_6 7_8 9_10', 'graphic you forget_what_reality be beautiful_good_decent bad don_t_look too long it ms_do gameplay good good it s just_gameplay_mehh watch_paint_dry_instead don_t_audio_eargasm good good not too bad bad i m_now_deaf audience_kid_teen_adult grandma_pc_requirement_check you can_run_paint potato_decent_fast_rich boi_ask_nasa_if they have spare_computer_game size_floppy_disk_old fashioned_workable_big will eat 10 your_1_tb hard_drive you will want entire_hard_drive hold it you will need invest black_hole hold all datum_difficulty press_w_easy_easy learn_hard master_significant_brain_usage difficult_dark_soul_grind nothing grind only u_care_about_leaderboard rank_isn t_necessary progress_average_grind_level too_much_grind you ll need second_life grind_story no story_some_lore average_good_lovely it ll_replace your life game time long_enough cup coffee_short_average_long infinity beyond_price it s free_worth price it s sale have_some_spare money leave not recommend you could burn your money bug_never_hear minor_bug_can get_annoying_ark survival_evolve game itself be a_big_terrarium bug 10 1 2 3 4_5_6 7_8 9_10', 'graphic you forget_what_reality be beautiful_good_decent bad don_t_look too long it ms_do gameplay good good it s just_gameplay_mehh watch_paint_dry_instead don_t_audio_eargasm good good not too bad bad i m_now_deaf audience_kid_teen_adult grandma_pc_requirement_check you can_run_paint potato_decent_fast_rich boi_ask_nasa_if they have spare_computer_game size_floppy_disk_old fashioned_workable_big will eat 10 your_1_tb hard_drive you will want entire_hard_drive hold it you will need invest black_hole hold all datum_difficulty press_w_easy_easy learn_hard master_significant_brain_usage difficult_dark_soul_grind nothing grind only u_care_about_leaderboard rank_isn t_necessary progress_average_grind_level too_much_grind you ll need second_life grind_story no story_some_lore average_good_lovely it ll_replace your life game time long_enough cup coffee_short_average_long infinity beyond_price it s free_worth price it s sale have_some_spare money leave not recommend you could burn your money bug_never_hear minor_bug_can get_annoying_ark survival_evolve game itself be a_big_terrarium bug 10 1 2 3 4_5_6 7_8 9_10']"
25,1535,25_capture_human_catch_human_animal_slavery_animal_abuse,"['capture_human', 'catch_human', 'animal_slavery', 'animal_abuse', 'slave', 'human', 'butcher', 'pal', 'slaughter', 'kill']","['i see people attack pal i kill it catch human attack it sell they black_market butcher his friend 10_10', 'i have gun i can sell other human money i can kill little pal gunshot head slavery camp all pal either human animal sadly can not catch your friend', 'i love have my pal slave only have people human my pal one my_favorite']"
26,1281,26_lose_my_wife_beat_my_wife_my_wife_divorce,"['lose_my_wife', 'beat_my_wife', 'my_wife', 'divorce', 'wife', 'leave', 'married', 'custody', 'parent', 'marriage']","['i leave my_wife 2 kid s', 'my_wife kid leave i because game', 'my_wife kid leave i because game']"
27,1191,27_batman_joker_gotham_bat,"['batman', 'joker', 'gotham', 'bat', 'batmobile', 'arkham_knight', 'arkham_games', 'arkham', 'arkham_series', 'bat_mobile']","['be only batman game you need', 'story game be good not good i other arkham_games game play be ok graphic be beautiful big i hat be they totally drop ball dlcs i understand drive through city batmobile be game yes i buy they anyway because i m batman fan have dlc s drive different batmobile be redundant way arkham_city end arkham_knight begin they could ve easily do batman beyond return joker dlc game hopefully they do batman beyond game would be next one', 'be batman mostly batmobile man']"
28,1042,28_bot_ai_dead_die,"['bot', 'ai', 'dead', 'die', 'deathmatch', 'human', 'kill', 'game', 'play', 'want']","['only good bot be dead bot', 'only good bot be dead bot', 'game do not have bot']"
